瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯,弥绊扁柯,弥绊扁柯矫阿,弥历扁柯,弥历扁柯矫阿,老背瞒,墨款飘
236,何咯,2019-01-01,-2.7,1,16:04,-5.8,06:57,",6.8",1 
236,何咯,2019-01-02,-4.5,2.9,13:33,-10.1,06:51,",13",2 
236,何咯,2019-01-03,-4.2,5.4,15:07,-10.9,07:12,",16.3",3 
236,何咯,2019-01-04,-3.6,3.3,15:22,-10.2,07:05,",13.5",4 
236,何咯,2019-01-05,-2,4.4,14:53,-7,23:54,",11.4",5 
236,何咯,2019-01-06,-3.4,5.6,15:19,-9.4,04:50,",15",6 
236,何咯,2019-01-07,-2.7,5.6,14:14,-9.6,06:32,",15.2",7 
236,何咯,2019-01-08,-2.2,3.8,14:02,-7.1,07:38,",10.9",8 
236,何咯,2019-01-09,-4.3,3,15:55,-10.3,07:00,",13.3",9 
236,何咯,2019-01-10,-1.7,2.1,14:32,-5.5,22:27,",7.6",10 
236,何咯,2019-01-11,2,7.7,14:59,-4.7,00:01,",12.4",11 
236,何咯,2019-01-12,4.5,9.6,14:27,0.8,08:08,",8.8",12 
236,何咯,2019-01-13,0.2,9.3,14:55,-5.2,07:38,",14.5",13 
236,何咯,2019-01-14,-0.8,6.2,15:40,-6.3,07:32,",12.5",14 
236,何咯,2019-01-15,-0.9,6.8,12:46,-5.3,24:00:00,",12.1",15 
236,何咯,2019-01-16,-4.2,1.7,15:17,-10.2,07:50,",11.9",16 
236,何咯,2019-01-17,-1.6,5.6,16:12,-5.8,23:56,",11.4",17 
236,何咯,2019-01-18,-1,7.7,15:16,-7.5,03:33,",15.2",18 
236,何咯,2019-01-19,2.1,8.3,14:51,-4.6,08:21,",12.9",19 
236,何咯,2019-01-20,0.3,3.9,13:06,-6.1,23:42,",10",20 
236,何咯,2019-01-21,-1.5,6.7,14:44,-9,06:54,",15.7",21 
